여객(명),,,,,,,,,,,
항공사명,2020.1,2020.2,2020.3,2020.4,2021.1,2021.2,,,,,
대한항공(KAL),"4,117,632","1,072,146","1,210,524","1,292,093","1,025,016","1,457,713",,,,,
아시아나항공(AAR),"3,052,214","1,152,063","1,287,615","1,209,143","930,232","1,441,393",,,,,
제주항공(JJA),"1,913,998","921,305","1,283,825","1,369,584","1,217,078","1,916,393",,,,,
진에어(JNA),"1,098,885","657,600","1,274,078","1,290,888","1,218,149","1,578,458",,,,,
에어부산(ABL),"1,078,318","752,033","963,269","1,007,979","971,484","1,265,077",,,,,
,,,,,,,,,,,
화물(톤),,,,,,,,,,,
항공사명,2020.1,2020.2,2020.3,2020.4,2021.1,2021.2,,,,,
대한항공(KAL),"366,820","330,772","364,797","389,609","385,391","417,759",,,,,
아시아나항공(AAR),"203,737","173,236","183,526","202,207","182,433","191,955",,,,,
제주항공(JJA),"15,320","3,629","5,551","5,882","4,560","7,696",,,,,
진에어(JNA),"10,852","3,866","7,510","7,678","7,588","6,417",,,,,
에어부산(ABL),"8,012","3,479","4,611","5,253","5,844","5,160",,,,,
,,,,,,,,,,,
영업이익(백만원),,,,,,,,,,,
항공사명,2020.1,2020.2,2020.3,2020.4,2021.1,2021.2,,,,,
대한항공(KAL),"82,792","-55,407","-39,125","120,658","101,585",,,,,,
아시아나항공(AAR),"11,366","-6,565","1,402","2,561",549,,,,,,
제주항공(JJA),"-65,726","-85,419","-70,062","-114,609","-87,317",,,,,,
진에어(JNA),"-31,267","-59,612","-49,231","-44,600","-60,079",,,,,,
에어부산(ABL),"-38,512","-51,434","-42,437","-56,302","-47,227",,,,,,
,,,,,,,,,,,
월별 국내 숙박여행 횟수,,,,,,,,,,,
"16,787","5,144","3,005","4,384","6,676","6,607","9,579","9,483","7,373","8,091","5,543","5,777"
,,,,,,,,,,,
